,filename,LCD,PLD,LFPD,density cm3_g,ASA_m2_cm3,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,FSR_overlap,fomula,Cu,H,C,N,O,K,Pb,S,Zn,Co,Yb,Cs,Si,Cd,Cl,Dy,Ni,B,Th,Br,V,P,Ag,Mo,Gd,Na,Ba,Mn,Fe,Pt,F,Lu,W,Sm,In,Sc,Tb,Mg,La,Pd,I,Al,Ce,Cr,Ti,Zr,Nd,Pr,Eu,Y,Hf,U,Li,Rh,Ga,Se,Hg,Ca,Er,Ho,Re,Sr,Ru,Ge,Bi,Sn,Sb,Rb,Tm,Be,Ir,As,Nb,Au,Te,Np,Pu,all_electronegativity,metal_electronegativity,nonmetal_electronegativity,atom_number,volume,density g/cc
0,1499489-acs.cgd.6b01265_1499490_clean,10.85017,3.77263,10.26663,0.884188,1701.53,0,0.6458,0.730388,0,Cu,No,0,clean,Y,Cu18 H270 C342 N54 O72,18,270,342,54,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912.14,34.2,1877.94,756,13957.68478,0.884175505
1,ACECIV_ion_b,3.5991,2.94934,3.57968,2.60195,0,21.213,0.2312,0.0888565,0,"Pb,K",Yes,"Pb,K",ion_b,N,K12 H72 Pb12 C60 S12 N12 O48,0,72,60,12,48,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581.76,37.8,543.96,228,3235.39801,2.601939589
2,ACOCOM_clean,24.60642,13.0343,24.60642,0.349927,1537.41,0,0.863,2.46623,0,Cu,Yes,Cu,clean,Y,Cu48 H672 C1152 N48 O192,48,672,1152,48,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5313.6,91.2,5222.4,2112,101116.54,0.349921916
3,ACOCUS_clean,24.38417,13.22222,24.38417,0.346494,1518.48,0,0.8644,2.49471,0,Zn,Yes,Zn,clean,Y,Zn48 H672 C1152 N48 O192,0,672,1152,48,192,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5301.6,79.2,5222.4,2112,102542.6614,0.346503445
4,ACODAZ_clean,23.29182,13.11646,23.29182,0.343144,1530.83,0,0.8618,2.51148,0,Co,Yes,Co,clean,Y,Co48 H672 C1152 N48 O192,0,672,1152,48,192,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5312.64,90.24,5222.4,2112,102043.9692,0.34313861
5,ACODUT_clean,5.4607,3.36863,5.4607,1.51914,446.079,0,0.4404,0.289902,0,Yb,No,0,clean,Y,Yb2 H78 C126 O12,0,78,126,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.18,0,534.18,218,2328.347714,1.519109514
6,acs.cgd.5b01554_VAGNUP1452791_clean,6.16218,5.1323,5.87594,1.47047,1873.32,0,0.572,0.388992,0,"Cu,Cs,Si",Yes,"Cu,Cs",clean,Y,Cs16 Cu16 Si48 H168 C48 O96,16,168,48,0,96,0,0,0,0,0,0,16,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956.48,43.04,913.44,392,7648.60142,1.470468261
7,acs.cgd.6b00163_UKEBOD1448508_clean,4.86973,2.55151,4.17307,1.61619,0,294.165,0.396,0.245021,0,Cd,No,0,clean,Y,Cd4 H128 C232 N24 Cl8 O64,0,128,232,24,64,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.36,6.76,1191.6,460,5146.40779,1.616167316
8,acs.chemmater.5b03723_cm5b03723_si_004_clean,13.11818,7.33973,12.8246,0.772596,1915.1,10.4758,0.6956,0.900342,0,Cu,Yes,Cu,clean,Y,Cu24 H528 C516 N24 O168,24,528,516,24,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173.88,45.6,3128.28,1260,24241.95332,0.772586949
9,acs.chemmater.5b03723_cm5b03723_si_005_clean,14.22819,7.4356,14.22819,0.645145,2122.45,0,0.7418,1.14982,0,Cu,Yes,Cu,clean,Y,Cu24 H384 C444 N24 O120,24,384,444,24,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508.36,45.6,2462.76,996,24454.90958,0.645137095
